key:ID,source,local_id,title,author_list,last_updated,publication_year,url,doi,license,size,type
researchgraph.org/nci/f9737_6449_6141_8160,nci.org.au,f9737_6449_6141_8160,Australian Marine Video and Imagery Collection,,30/06/2016,2016,https://geonetwork.nci.org.au/geonetwork/srv/eng/catalog.search#/metadata/f9737_6449_6141_8160,,http://dapds00.nci.org.au/thredds/fileServer/licenses/fk1_licence.pdf,,dataset
researchgraph.org/nci/f5598_6911_6101_9802,nci.org.au,f5598_6911_6101_9802,Australian Natural Hazards Data Archive Offshore Tsunami Waveform Database for Australia,Geoscience Australia,30/06/2016,2016,https://geonetwork.nci.org.au/geonetwork/srv/eng/catalog.search#/metadata/f5598_6911_6101_9802,,http://dapds00.nci.org.au/thredds/fileServer/licenses/fj6_licence.pdf,,dataset
researchgraph.org/nci/f3933_4628_9275_8464,nci.org.au,f3933_4628_9275_8464,Global Navigation Satellite System (GNSS) Data Archive,,30/06/2016,2016,https://geonetwork.nci.org.au/geonetwork/srv/eng/catalog.search#/metadata/f3933_4628_9275_8464,,http://dapds00.nci.org.au/thredds/fileServer/licenses/fj5_licence.pdf,,dataset
researchgraph.org/nci/f6406_5388_2095_4364,nci.org.au,f6406_5388_2095_4364,TERN MODIS Australasian Surface Reflectance Products,These data are produced by CSIRO on behalf of TERN/AusCover.     ,24/10/2017,2017,https://geonetwork.nci.org.au/geonetwork/srv/eng/catalog.search#/metadata/f6406_5388_2095_4364,,http://imos.org.au/facilities/aodn/aodn-data-management/aodn-conditions-of-use/,,dataset
researchgraph.org/nci/f7062_7450_8470_3453,nci.org.au,f7062_7450_8470_3453,Bathymetry Grids Datasets,,30/06/2016,2016,https://geonetwork.nci.org.au/geonetwork/srv/eng/catalog.search#/metadata/f7062_7450_8470_3453,,http://dapds00.nci.org.au/thredds/fileServer/licenses/rr1_licence.pdf,,dataset
researchgraph.org/nci/f9082_1236_9859_8989,nci.org.au,f9082_1236_9859_8989,Digital Elevation Data of Australia,,30/06/2016,2016,https://geonetwork.nci.org.au/geonetwork/srv/eng/catalog.search#/metadata/f9082_1236_9859_8989,,http://dapds00.nci.org.au/thredds/fileServer/licenses/rr1_licence.pdf,,dataset
researchgraph.org/nci/f4746_9864_6013_2394,nci.org.au,f4746_9864_6013_2394,Australian Natural Hazards Data Archive  Australian Earthquake Hazard Datasets,,18/10/2017,2017,https://geonetwork.nci.org.au/geonetwork/srv/eng/catalog.search#/metadata/f4746_9864_6013_2394,,http://dapds00.nci.org.au/thredds/fileServer/licenses/fj6_licence.pdf,,dataset
researchgraph.org/nci/f3159_9646_3616_8285,nci.org.au,f3159_9646_3616_8285,TERN eMAST Data Assimilation,,24/10/2017,2017,https://geonetwork.nci.org.au/geonetwork/srv/eng/catalog.search#/metadata/f3159_9646_3616_8285,,http://tern.org.au/datalicence/TERN-BY/1.0/,,dataset
researchgraph.org/nci/f9825_9356_7529_2815,nci.org.au,f9825_9356_7529_2815,Data Repository of the Ecosystem Modelling and Scaling Infrastructure Facility (DR e-MAST) TERN collection,,30/06/2016,2016,https://geonetwork.nci.org.au/geonetwork/srv/eng/catalog.search#/metadata/f9825_9356_7529_2815,,http://dapds00.nci.org.au/thredds/fileServer/licenses/license_rr9.txt,,dataset
researchgraph.org/nci/f7490_3602_5836_4028,nci.org.au,f7490_3602_5836_4028,Plots of APS2 access-r,,22/09/2017,2017,https://geonetwork.nci.org.au/geonetwork/srv/eng/catalog.search#/metadata/f7490_3602_5836_4028,,,,dataset
researchgraph.org/nci/f4932_5026_2418_7306,nci.org.au,f4932_5026_2418_7306,APS2 access-ph research experiment bnmp NWP data,,22/09/2017,2017,https://geonetwork.nci.org.au/geonetwork/srv/eng/catalog.search#/metadata/f4932_5026_2418_7306,,,,dataset
researchgraph.org/nci/f1347_5164_2538_0354,nci.org.au,f1347_5164_2538_0354,Plots of APS2 access-ad,,22/09/2017,2017,https://geonetwork.nci.org.au/geonetwork/srv/eng/catalog.search#/metadata/f1347_5164_2538_0354,,,,dataset
