from_key,to_uri
researchgraph.org/nci/f9737_6449_6141_8160,http://purl.org/au-research/vocabulary/anzsrc-for/2008/0502
researchgraph.org/nci/f5598_6911_6101_9802,http://purl.org/au-research/vocabulary/anzsrc-for/2008/0406
researchgraph.org/nci/f3933_4628_9275_8464,http://purl.org/au-research/vocabulary/anzsrc-for/2008/090902
researchgraph.org/nci/f6406_5388_2095_4364,http://purl.org/au-research/vocabulary/anzsrc-for/2008/0406
researchgraph.org/nci/f7062_7450_8470_3453,http://purl.org/au-research/vocabulary/anzsrc-for/2008/0406
researchgraph.org/nci/f9082_1236_9859_8989,http://purl.org/au-research/vocabulary/anzsrc-for/2008/0406
researchgraph.org/nci/f4746_9864_6013_2394,http://purl.org/au-research/vocabulary/anzsrc-for/2008/0406
researchgraph.org/nci/f3159_9646_3616_8285,http://purl.org/au-research/vocabulary/anzsrc-for/2008/050101
researchgraph.org/nci/f9825_9356_7529_2815,http://purl.org/au-research/vocabulary/anzsrc-for/2008/050101
researchgraph.org/nci/f7490_3602_5836_4028,http://purl.org/au-research/vocabulary/anzsrc-for/2008/040107
researchgraph.org/nci/f4932_5026_2418_7306,http://purl.org/au-research/vocabulary/anzsrc-for/2008/040107
researchgraph.org/nci/f1347_5164_2538_0354,http://purl.org/au-research/vocabulary/anzsrc-for/2008/040107
researchgraph.org/nci/f6591_7162_0194_2873,http://purl.org/au-research/vocabulary/anzsrc-for/2008/040107
researchgraph.org/nci/f4012_9786_3614_4861,http://purl.org/au-research/vocabulary/anzsrc-for/2008/040107
researchgraph.org/nci/f6232_2864_8886_6905,http://purl.org/au-research/vocabulary/anzsrc-for/2008/0406
researchgraph.org/nci/f6749_1502_4869_8351,http://purl.org/au-research/vocabulary/anzsrc-for/2008/0406
researchgraph.org/nci/f8510_7038_2836_3562,http://purl.org/au-research/vocabulary/anzsrc-for/2008/0406
researchgraph.org/nci/e6452c77-fcce-4a5f-828f-9111e4e9b70c,http://purl.org/au-research/vocabulary/anzsrc-for/2008/050101
researchgraph.org/nci/09517e92-b41e-45c0-a0dc-5f97025c458f,http://purl.org/au-research/vocabulary/anzsrc-for/2008/050101
researchgraph.org/nci/f1276_4347_1040_7101,http://purl.org/au-research/vocabulary/anzsrc-for/2008/040608
researchgraph.org/nci/f8497_3951_1776_6401,http://purl.org/au-research/vocabulary/anzsrc-for/2008/040104
researchgraph.org/nci/f4505_6347_8415_5982,http://purl.org/au-research/vocabulary/anzsrc-for/2008/0404
researchgraph.org/nci/f9810_4167_4348_6492,http://purl.org/au-research/vocabulary/anzsrc-for/2008/040107
researchgraph.org/nci/f6931_7518_1584_3891,02http://purl.org/au-research/vocabulary/anzsrc-for/2008/0406
researchgraph.org/nci/f5290_2963_1574_8584,http://purl.org/au-research/vocabulary/anzsrc-for/2008/0201
researchgraph.org/nci/f9385_6463_3730_3415,http://purl.org/au-research/vocabulary/anzsrc-for/2008/040107
researchgraph.org/nci/f3003_1763_3524_1062,http://purl.org/au-research/vocabulary/anzsrc-for/2008/0607
researchgraph.org/nci/f6028_2676_1478_3956,http://purl.org/au-research/vocabulary/anzsrc-for/2008/0201
researchgraph.org/nci/f5263_5504_2663_8841,http://purl.org/au-research/vocabulary/anzsrc-for/2008/0406
researchgraph.org/nci/f5017_6759_2759_3916,http://purl.org/au-research/vocabulary/anzsrc-for/2008/0406
researchgraph.org/nci/f8281_6650_9945_6826,http://purl.org/au-research/vocabulary/anzsrc-for/2008/0406
researchgraph.org/nci/7da8e4a6-cfcc-4d25-89c7-9fcba4cd63c2,http://purl.org/au-research/vocabulary/anzsrc-for/2008/050101
researchgraph.org/nci/f8695_6401_6115_6704,http://purl.org/au-research/vocabulary/anzsrc-for/2008/040608
researchgraph.org/nci/f6112_9394_7244_4302,http://purl.org/au-research/vocabulary/anzsrc-for/2008/040608
researchgraph.org/nci/f5213_4723_1365_2675,http://purl.org/au-research/vocabulary/anzsrc-for/2008/0406
